date,route_id,congestion_level,avg_speed_kmph,delay_minutes
2024-01-03,RT-101,Low,62,5
2024-01-05,RT-102,Medium,38,18
2024-01-08,RT-103,High,22,42
2024-01-10,RT-101,Low,58,8
2024-01-12,RT-104,Medium,35,22
2024-01-15,RT-105,Low,65,3
2024-01-18,RT-102,High,18,55
2024-01-20,RT-103,Medium,40,15
2024-01-23,RT-106,Low,60,6
2024-01-25,RT-101,Medium,42,14
2024-02-01,RT-104,High,20,48
2024-02-03,RT-105,Low,63,4
2024-02-06,RT-102,Medium,36,20
2024-02-09,RT-103,Low,55,9
2024-02-12,RT-106,High,25,38
2024-02-15,RT-101,Medium,44,12
2024-02-18,RT-104,Low,61,5
2024-02-21,RT-105,High,19,50
2024-02-24,RT-102,Medium,37,19
2024-02-27,RT-103,Low,57,7
2024-03-02,RT-106,Medium,41,16
2024-03-05,RT-101,High,23,40
2024-03-08,RT-104,Low,64,3
2024-03-11,RT-105,Medium,39,17
2024-03-14,RT-102,Low,59,6
2024-03-17,RT-103,High,21,45
2024-03-20,RT-106,Medium,43,13
2024-03-23,RT-101,Low,66,2
2024-03-26,RT-104,Medium,35,21
2024-03-29,RT-105,High,17,58
2024-04-01,RT-102,Low,56,8
2024-04-04,RT-103,Medium,38,18
2024-04-07,RT-106,Low,62,5
2024-04-10,RT-101,High,24,37
2024-04-13,RT-104,Medium,40,15
2024-04-16,RT-105,Low,60,6
2024-04-19,RT-102,High,20,47
2024-04-22,RT-103,Medium,42,14
2024-04-25,RT-106,Low,58,7
2024-04-28,RT-101,Medium,36,20
2024-05-01,RT-104,High,22,43
2024-05-04,RT-105,Low,63,4
2024-05-07,RT-102,Medium,37,19
2024-05-10,RT-103,Low,55,9
2024-05-13,RT-106,High,25,36
2024-05-16,RT-101,Medium,44,12
2024-05-19,RT-104,Low,61,5
2024-05-22,RT-105,High,18,52
2024-05-25,RT-102,Medium,39,17
2024-05-28,RT-103,Low,57,7
2024-06-01,RT-106,Medium,41,16
2024-06-04,RT-101,High,23,41
2024-06-07,RT-104,Low,64,3
2024-06-10,RT-105,Medium,38,18
2024-06-13,RT-102,Low,60,6
2024-06-16,RT-103,High,21,46
2024-06-19,RT-106,Medium,43,13
2024-06-22,RT-101,Low,65,2
2024-06-25,RT-104,Medium,35,22
2024-06-28,RT-105,High,19,49
2024-07-02,RT-102,Low,56,8
2024-07-05,RT-103,Medium,40,15
2024-07-08,RT-106,Low,62,5
2024-07-11,RT-101,High,24,38
2024-07-14,RT-104,Medium,42,14
2024-07-17,RT-105,Low,59,7
2024-07-20,RT-102,High,20,48
2024-07-23,RT-103,Medium,37,19
2024-07-26,RT-106,Low,58,6
2024-07-29,RT-101,Medium,36,20
2024-08-01,RT-104,High,22,44
2024-08-04,RT-105,Low,63,4
2024-08-07,RT-102,Medium,39,17
2024-08-10,RT-103,Low,55,9
2024-08-13,RT-106,High,25,35
2024-08-16,RT-101,Medium,44,12
2024-08-19,RT-104,Low,61,5
2024-08-22,RT-105,High,18,53
2024-08-25,RT-102,Medium,41,16
2024-08-28,RT-103,Low,57,7
2024-09-01,RT-106,Medium,38,18
2024-09-04,RT-101,High,23,42
2024-09-07,RT-104,Low,64,3
2024-09-10,RT-105,Medium,40,15
2024-09-13,RT-102,Low,60,6
2024-09-16,RT-103,High,21,47
2024-09-19,RT-106,Medium,43,13
2024-09-22,RT-101,Low,66,2
2024-09-25,RT-104,Medium,35,21
2024-09-28,RT-105,High,17,56
2024-10-02,RT-102,Low,56,8
2024-10-05,RT-103,Medium,42,14
2024-10-08,RT-106,Low,62,5
2024-10-12,RT-101,High,24,39
2024-10-15,RT-104,Medium,38,18
2024-10-18,RT-105,Low,59,7
2024-10-22,RT-102,High,20,50
2024-10-25,RT-103,Medium,37,19
2024-10-28,RT-106,Low,58,6
2024-11-01,RT-101,Medium,44,12
2024-11-04,RT-104,High,22,43
